아름다운	아름답/paa+은/etm
야생화들이	야생/ncpa+화/ncn+들/xsncc+이/jcc
피어있더군요	피/pvg+어/ecx+있/px+더군/ef+요/jxf
.	./sf

고원자생식물원의	고원/ncn+자생/ncpa+식물원/ncn+의/jcm
탐방	탐방/ncpa
동선은	동/nbu+선/jxc+은/jxc
작년과	작년/ncn+과/jct
많이	많/paa+이/xsa
달라졌습니다	다르/paa+아/ecx+지/px+었/ep+습니다/ef
.	./sf

작년까지만	작년/ncn+까지/jxc+만/jxc
해도	하/pvg+어도/ecs
중앙광장	중앙/ncn+광장/ncn
뒤편	뒤편/ncn
길을	길/ncn+을/jco
따라	따르/pvg+아/ecx
가면	가/px+면/ecs
야트막한	야트막/ncps+하/xsms+ㄴ/etm
구릉에	구릉/ncn+에/jca
수많은	수많/paa+은/etm
해바라기꽃이	해바라기꽃/ncn+이/jcc
피어	피/pvg+어/ecx
그야말로	그야말로/mag
우리나라	우리나라/ncn
최대	최대/ncn
해바리기꽃	해바리기꽃/ncn
군락임을	군락/ncn+이/jp+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있었지만	있/px+었/ep+지/ecx+말/px+ㄴ/etm
올해는	올해/ncn+는/jxc
무슨	무슨/mmd
공사를	공사/ncn+를/jco
하는	하/pvg+는/etm
바람에	바라/pvg+ㅁ/etn+에/jca
그곳에는	그곳/ncn+에/jca+는/jxc
꽃을	꽃/ncn+을/jco
심지	심/pvg+지/ecx
않았다고	않/px+아/ep+다/ef+고/jcr
합니다	하/px+ㅂ니다/ef
.	./sf

다른	다른/mma
곳에	곳/nbn+에/jca
비해	비하/pvg+어/ecx
이곳	이곳/npd
고원자생식물원의	고원/ncn+자생/ncpa+식물원/ncn+의/jcm
가장	가장/mag
큰	크/paa+ㄴ/etm
매력이었는데	매력/ncn+이/jp+었/ep+는데/ecs
그점이	그점/ncn+이/jcc
아쉬움으로	아쉬움/ncn+으로/jca
남네요	남/pvg+네/ef+요/jxf
.	./sf

하지만	하지만/maj
오늘	오늘/ncn
해바라기꽃밭은	해바라기꽃/ncn+밭/ncn+은/jxc
그	그/mmd
어느	어느/mmd
때보다	때/ncn+보다/jca
높고	높/paa+고/ecc
푸른	푸르/paa+ㄴ/etm
하늘과	하늘/ncn+과/jcj
손에	손/ncn+에/jca
잡힐	잡히/pvg+ㄹ/etm
듯한	듯/nbn+하/pvg+ㄴ/etm
흰	희/paa+ㄴ/etm
구름이	구름/ncn+이/jcc
아쉬움을	아쉬움/ncn+을/jco
달래주었습니다	달래/pvg+어/ecx+주/px+었/ep+습니다/ef
.	./sf

해바라기	해바라기/ncn
꽃밭을	꽃밭/ncn+을/jco
돌아본	돌/pvg+아/ecx+보/px+ㄴ/etm
후	후/ncn
태백	태백/ncn
시내에	시내/ncn+에/jca
있는	있/px+는/etm
너와집으로	너와/ncn+집/ncn+으로/jca
이동하여	이동/ncpa+하/xsva+어/ecx
깔끔한	깔끔/ncps+하/xsms+ㄴ/etm
산채비빔밥으로	산채/ncn+비빔밥/ncn+으로/jca
점심	점심/ncn
식사를	식사/ncpa+를/jco
하고	하/pvg+고/ecc
야생화가	야생/ncpa+화/ncn+가/jcs
핀	피/pvg+ㄴ/etm
만항재로	만항재/ncn+로/jca
이동하였습니다	이동/ncpa+하/xsva+었/ep+습니다/ef
.	./sf

함백산	함백산/ncn
만항재는	만항재/ncn+는/jxc
우리나라에서	우리나라/ncn+에서/jca
차로	차/ncn+로/jca
오를	오르/pvg+ㄹ/etm
수	수/nbn
있는	있/px+는/etm
가장	가장/mag
높은	높/paa+은/etm
고개입니다	고개/ncn+이/jp+ㅂ니다/ef
.	./sf

높이가	높이/ncn+가/jcs
1,330미터에	1,330/nnc+미터/nbu+에/jca
위치한	위치/ncn+한/ncn
만항재는	만항재/ncn+는/jxc
한	하/pvg+ㄴ/etm
여름에도	여름/ncn+에/jca+도/jxc
서늘한	서늘/ncps+하/xsms+ㄴ/etm
바람이	바람/ncn+이/jcc
불어옵니다	불/pvg+어/ecx+오/px+ㅂ니다/ef
.	./sf

에어컨	에어컨/ncn
바람보다	바라/pvg+ㅁ/etn+보다/jca
더	더/mag
상쾌한	상쾌/ncps+하/xsms+ㄴ/etm
바람	바라/pvg+ㅁ/etn
맞으며	맞/pvg+으며/ecc
예쁜	예쁘/paa+ㄴ/etm
야생화	야생/ncpa+화/ncn
감상을	감상/ncn+을/jco
하니	하/pvg+니/ecs
신선이	신선/ncn+이/jcc
따로	따로/mag
없습니다	없/paa+습니다/ef
.	./sf

요즘	요즘/mag
만항재는	만항재/ncn+는/jxc
야생화	야생/ncpa+화/ncn
축제가	축제/ncn+가/jcs
시작되었는데	시작/ncpa+되/xsvn+었/ep+는데/ecs
연보랏빛	연보랏빛/ncn
긴산꼬리풀이	긴산꼬리풀/ncn+이/jcc
나풀거리고	나풀거리/pvg+고/ecc
환한	환/ncps+하/xsms+ㄴ/etm
동자꽃이	동자/ncn+꽃/ncn+이/jcc
어울려	어울리/pvg+어/ecx
피어나고	피/pvg+어/ecx+나/px+고/ecc
분홍빛	분홍빛/ncn
둥근이질풀이	둥근이질풀/ncn+이/jcc
지천입니다	지천/ncpa+이/jp+ㅂ니다/ef
.	./sf

이외에도	이외/ncn+에/jca+도/jxc
수많은	수많/paa+은/etm
꽃이	꽃/ncn+이/jcc
있는데	있/px+는데/ecs
축제	축제/ncn
기간에는	기간/ncn+에/jca+는/jxc
야생화	야생/ncpa+화/ncn
해설사들의	해설사들/ncn+의/jcm
도움을	도움/ncn+을/jco
받아	받/pvg+아/ecx
다양한	다양/ncps+하/xsms+ㄴ/etm
꽃에	꽃/ncn+에/jca
대해	대/pvg+어/ecx+하/px+어/ecx
알아보는	알/pvg+아/ecx+보/px+는/etm
시간도	시간/nbu+도/jxc
꽤	꽤/mag
유익해서	유익/ncps+하/xsms+어서/ecs
저도	저/npp+도/jxc
설명을	설명/ncpa+을/jco
귀담아	귀담/pvg+아/ecx
들었네요	들/pvg+었/ep+네/ef+요/jxf
.	./sf

아마	아마/mag
오늘	오늘/ncn
만항재에	만항재/ncn+에/jca
피어난	피/pvg+어/ecx+나/px+ㄴ/etm
야생화	야생/ncpa+화/ncn
한	하/pvg+ㄴ/etm
둘	둘/nnc
쯤은	쯤/ncn+은/jxc
기억하실	기억/ncpa+하/xsva+시/ep+ㄹ/etm
거예요	거예요/ncn
.	./sf

^^	^/sy+^/sy

만항재를	만항재/ncn+를/jco
내려가는	내리/pvg+어/ecx+가/px+는/etm
길에	길/ncn+에/jca
잠깐	잠깐/mag
정암사도	정암사/ncn+도/jxc
들러보았습니다	들르/pvg+어/ecx+보/px+아/ep+ㅂ니다/ef
.	./sf

우리나라	우리나라/ncn
5대	5/nnc+대/nbu
적멸보궁	적멸보궁/ncn
중	중/nbn
하나인	하나/nnc+이/jp+ㄴ/etm
이곳은	이곳/npd+은/jxc
보물	보물/ncn
수마노탑을	수마노탑/ncn+을/jco
지니고	지/nbn+이/jp+니/ef+고/jcr
있는	있/px+는/etm
사찰인데	사찰/ncn+이/jp+ㄴ데/ecs
평일	평/nbu+이/jp+ㄹ/etm
여행이라	여행/ncpa+이/jp+라/ecs
시간이	시간/ncn+이/jcc
꽤	꽤/mag
여유로워	여유/ncn+롭/xsmn+어/ecx
잠깐	잠깐/mag
돌아보았습니다	돌/pvg+아/ecx+보/px+아/ep+ㅂ니다/ef
.	./sf

오늘은	오늘/ncn+은/jxc
오랜만에	오랜만/ncn+에/jca
화창한	화창/ncps+하/xsms+ㄴ/etm
날씨와	날씨/ncn+와/jct
함께	함께/mag
한	하/pvg+ㄴ/etm
여행이었습니다	여행/ncpa+이/jp+었/ep+습니다/ef
.	./sf

고원자생식물원의	고원/ncn+자생/ncpa+식물원/ncn+의/jcm
해바라기는	해바라기/ncn+는/jxc
아직	아직/mag
만개는	만/nnc+개/nbu+는/jxc
아니지만	아니/paa+지만/ecs
수많은	수많/paa+은/etm
해바라기꽃을	해바라기꽃/ncn+을/jco
만날	만나/pvg+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
그	그/mmd
시간들	시간/ncn+들/ncn
그리고	그리고/maj
만항재에서	만항재/ncn+에서/jca
불어오던	불/pvg+어/ecx+오/px+던/etm
시원한	시원/ncps+하/xsms+ㄴ/etm
바람과	바람/ncn+과/jct
예쁜	예쁘/paa+ㄴ/etm
야생화들로	야생/ncpa+화/ncn+들/xsncc+로/jca
한여름	한여름/ncn
더위를	더위/ncn+를/jco
잊게	잊/pvg+게/ecs
했던	하/px+었/ep+던/etm
상쾌함으로	상쾌/ncps+하/xsms+ㅁ/etn+으로/jca
오래	오래/mag
기억에	기억/nnc+에/jca
남을	남/ncn+을/jco
듯합니다	듯하/paa+ㅂ니다/ef
.	./sf

더운	덥/paa+은/etm
날씨에	날씨/ncn+에/jca
여행하시느라	여행/ncpa+하시/ncn+이/jp+느라/ecs
이번	이/nnc+번/nbu
여행에	여행/ncpa+에/jca
참여한	참여/ncpa+하/xsva+ㄴ/etm
회원분들	회원/ncn+분/ncn+들/xsncc
모두	모두/mag
수고	수/nbn+이/jp+고/ecc
많으셨구요,	많으셨구요,/ncn
더위에	더위/ncn+에/jca
지치지	지치/pvg+지/ecx
않도록	않/px+도록/ecs
건강	건강/ncps
잘	잘/mag
챙기시기	챙기/pvg+시/ep+기/etn
바랍니다~	바/nbn+이/jp+랍니다/ef+~/sd
