3월	3/nnc+월/nbu
보내지	보내/pvg+지/ecx
못해	못하/pvg+어/ecx
조금	조금/mag
아쉬우셨죠	아쉽/paa+으셨/ep+죠/ef
?	?/sf

^^	^/sy+^/sy
하지만	하지만/maj
어제처럼	어제/ncn+처럼/jca
안개	안개/ncn
덮인	덮이/pvg+ㄴ/etm
숲속의	숲속/ncn+의/jcm
풍경도	풍경/ncn+도/jxc
독특해서	독특/ncps+해서/ncn
기억에	기억/nnc+에/jca
오래	오래/mag
남을	남/ncn+을/jco
수	수/nbn
있는	있/px+는/etm
기회였다고	기회/ncn+이/jp+었/ep+다/ef+고/jcr
생각해주시고	생각/ncpa+하/xsva+어/ecx+주/px+시/ep+고/ecc
오늘	오늘/ncn
하루	하루/ncn
푹	푹/mag
쉬시면서	쉬/pvg+시/ep+면서/ecc
새롭게	새롭/paa+게/ecs
시작되는	시작/ncpa+되/xsvn+는/etm
한	한/nnc
주도	주/nbu+도/jxc
활기차게	활기차/paa+게/ecs
맞이하시기	맞이/ncpa+하시/ncn+이/jp+기/etn
바랍니다~	바/nbn+이/jp+랍니다/ef+~/sd
